Order,Family,Species name,Taxonomic authority,Common name,taxon_id,assessment_id,European category,EU 27 regional category,Endemic to Europe,Endemic to EU 27,Link to assessment
Squamata,Phyllodactylidae,Tarentola gomerensis,"Joger and Bischoff, 1983",Gomero Wall Gecko,61577,137857989,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61577/137857989
Squamata,Phyllodactylidae,Tarentola mauritanica,"(Linnaeus, 1758)",Common Wall Gecko,61578,207660692,LC,LC,No,No,https://www.iucnredlist.org/species/61578/207660692
Squamata,Phyllodactylidae,Tarentola substituta,"Joger, 1984",São Vicente Wall Gecko,13152212,204870038,NA,NA,No,No,https://www.iucnredlist.org/species/13152212/204870038
Squamata,Lacertidae,Teira dugesii,"(Milne-Edwards, 1829)",Madeira Lizard,61521,207657622,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61521/207657622
Squamata,Colubridae,Telescopus fallax,"(Fleischmann, 1831)",Cat Snake,157258,137860744,LC,LC,No,No,https://www.iucnredlist.org/species/157258/137860744
Squamata,Gekkonidae,Tenuidactylus bogdanovi,"Nazarov & Poyarkov, 2013",Bogdanov’s Thin-toed Gecko,54573089,204888407,NA,Not recorded,No,No,https://www.iucnredlist.org/species/54573089/204888407
Squamata,Gekkonidae,Tenuidactylus caspius,"(Eichwald, 1831)",Caspian Bent-toed Gecko,157255,207992940,NA,Not recorded,No,No,https://www.iucnredlist.org/species/157255/207992940
Testudines,Testudinidae,Testudo graeca,"Linnaeus, 1758",Common Tortoise,21646,207669215,NT,NT,No,No,https://www.iucnredlist.org/species/21646/207669215
Testudines,Testudinidae,Testudo hermanni,"Gmelin, 1789",Hermann's Tortoise,21648,2777071,VU,VU,Yes,No,https://www.iucnredlist.org/species/21648/2777071
Testudines,Testudinidae,Testudo marginata,"Schoepff, 1792",Marginated Tortoise,21653,2777760,LC,LC,Yes,No,https://www.iucnredlist.org/species/21653/2777760
Squamata,Lacertidae,Timon lepidus,"(Daudin, 1802)",Ocellated Lizard,218293375,137858480,LC,LC,Yes,No,https://www.iucnredlist.org/species/218293375/137858480
Squamata,Lacertidae,Timon nevadensis,"(Buchholz, 1963)",Sierra Nevada Ocellated Lizard,200064594,207063060,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/200064594/207063060
Squamata,Lacertidae,Timon tangitanus,"(Boulenger, 1887)",Moroccan Ocellated Lizard,61585,207657895,NA,NA,No,No,https://www.iucnredlist.org/species/61585/207657895
Testudines,Emydidae,Trachemys scripta,"(Thunberg, 1792)",Yellow-bellied Slider Turtle,22028,207988853,NA,Not recorded,No,No,https://www.iucnredlist.org/species/22028/207988853
Testudines,Trionychidae,Trionyx triunguis,"(Forskål, 1775)",African Softshell Turtle,62256,207992212,NA,NA,No,No,https://www.iucnredlist.org/species/62256/207992212
Squamata,Trogonophidae,Trogonophis wiegmanni,"Kaup, 1830",Checkerboard Worm Lizard,61589,217943612,NA,NA,No,No,https://www.iucnredlist.org/species/61589/217943612
Squamata,Viperidae,Vipera ammodytes,"(Linnaeus, 1758)",Nose-horned Viper,62255,207991981,LC,LC,No,No,https://www.iucnredlist.org/species/62255/207991981
Squamata,Viperidae,Vipera aspis,"(Linnaeus, 1758)",Asp Viper,61591,260760059,VU,VU,Yes,No,https://www.iucnredlist.org/species/61591/260760059
Squamata,Viperidae,Vipera berus,"(Linnaeus, 1758)",Adder,47756146,215261275,LC,LC,No,No,https://www.iucnredlist.org/species/47756146/215261275
Squamata,Viperidae,Vipera graeca,"Nilson & Andrén, 1988",Greek Meadow Viper,53789650,207665793,EN,EN,Yes,No,https://www.iucnredlist.org/species/53789650/207665793
Squamata,Viperidae,Vipera latastei,"Boscá, 1878",Lataste's Viper,221202039,137859691,VU,VU,Yes,Yes,https://www.iucnredlist.org/species/221202039/137859691
Squamata,Viperidae,Vipera renardi,"(Christoph, 1861)",Eastern Steppe Viper,157268,215291182,VU,Not recorded,No,No,https://www.iucnredlist.org/species/157268/215291182
Squamata,Viperidae,Vipera seoanei,"Lataste, 1879",Seoane's Viper,61594,137859941,NT,NT,Yes,Yes,https://www.iucnredlist.org/species/61594/137859941
Squamata,Viperidae,Vipera ursinii,"(Bonaparte, 1835)",Meadow Viper,218272979,207526336,VU,VU,Yes,No,https://www.iucnredlist.org/species/218272979/207526336
Squamata,Typhlopidae,Xerotyphlops vermicularis,"(Merrem, 1820)",Eurasian Blind Snake,157274,207993994,LC,LC,No,No,https://www.iucnredlist.org/species/157274/207993994
Squamata,Colubridae,Zamenis hohenackeri,"(Strauch, 1873)",Transcaucasian Rat Snake,157251,205719449,DD,DD,No,No,https://www.iucnredlist.org/species/157251/205719449
Squamata,Colubridae,Zamenis lineatus,"(Camerano, 1891)",Italian Aesculapian Snake,61595,205824302,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61595/205824302
Squamata,Colubridae,Zamenis longissimus,"(Laurenti, 1768)",Aesculapian Ratsnake,157266,205826427,LC,LC,No,No,https://www.iucnredlist.org/species/157266/205826427
Squamata,Colubridae,Zamenis scalaris,"(Schinz, 1822)",Ladder Snake,61565,137857016,LC,LC,Yes,Yes,https://www.iucnredlist.org/species/61565/137857016
Squamata,Colubridae,Zamenis situla,"(Linnaeus, 1758)",European Ratsnake,61444,205825815,LC,LC,No,No,https://www.iucnredlist.org/species/61444/205825815
Squamata,Lacertidae,Zootoca carniolica,"(Mayer, Böhme, Tiedemann & Bischoff, 2000)",,243561918,243562851,LC,LC,Yes,No,https://www.iucnredlist.org/species/243561918/243562851
Squamata,Lacertidae,Zootoca vivipara,"Wagler, 1830",Viviparous Lizard,243561476,207991664,LC,LC,No,No,https://www.iucnredlist.org/species/243561476/207991664
